,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_knn__algorithm,param_knn__leaf_size,param_knn__metric,param_knn__n_neighbors,param_knn__p,param_knn__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
36,54.13360719680786,7.436554287713153,2410.12559325695,488.4287461974683,ball_tree,59,minkowski,13,1,distance,"OrderedDict([('knn__algorithm', 'ball_tree'), ('knn__leaf_size', 59), ('knn__metric', 'minkowski'), ('knn__n_neighbors', 13), ('knn__p', 1), ('knn__weights', 'distance')])",0.9719002740261619,0.9625571761132748,0.9668825299751986,0.9703720369601798,0.9656939494276872,0.9707033685672221,0.9647574836437005,0.9723729337156783,0.9595235123016606,0.9722634781475398,0.9677026742878303,0.004279233158127978,17
37,54.15437848567963,7.384858922673064,2408.987406039238,483.8143096169231,ball_tree,49,manhattan,15,2,distance,"OrderedDict([('knn__algorithm', 'ball_tree'), ('knn__leaf_size', 49), ('knn__metric', 'manhattan'), ('knn__n_neighbors', 15), ('knn__p', 2), ('knn__weights', 'distance')])",0.9714198361482687,0.9617837312235767,0.9664572141505344,0.9705364030751296,0.9637261162622297,0.9715727382875755,0.965389024634088,0.97093469092137,0.9590954832979193,0.9714993554240057,0.9672414593424697,0.0043748487579494885,21
38,24.351293206214905,3.1694273087690314,7441.734977006912,1620.8177531762478,auto,10,manhattan,3,2,distance,"OrderedDict([('knn__algorithm', 'auto'), ('knn__leaf_size', 10), ('knn__metric', 'manhattan'), ('knn__n_neighbors', 3), ('knn__p', 2), ('knn__weights', 'distance')])",0.9772562182408459,0.9595917360152603,0.968945744967348,0.9710618330129901,0.9693528252941931,0.9699593195618604,0.9745238081896173,0.9725770930610173,0.9641677088617377,0.9792016197009283,0.9706637906905797,0.005522948386220873,8
39,24.263472867012023,3.3938104960349484,7420.545845484734,1598.5887156352492,auto,50,manhattan,15,1,distance,"OrderedDict([('knn__algorithm', 'auto'), ('knn__leaf_size', 50), ('knn__metric', 'manhattan'), ('knn__n_neighbors', 15), ('knn__p', 1), ('knn__weights', 'distance')])",0.9714198361482687,0.9617837312235767,0.9664572141505344,0.9705364030751296,0.9637261162622297,0.9715727382875755,0.965389024634088,0.97093469092137,0.9590954832979193,0.9714993554240057,0.9672414593424697,0.0043748487579494885,21
40,24.148139476776123,3.6183315048286286,7416.738441371917,1605.3776980243565,auto,10,manhattan,5,2,distance,"OrderedDict([('knn__algorithm', 'auto'), ('knn__leaf_size', 10), ('knn__metric', 'manhattan'), ('knn__n_neighbors', 5), ('knn__p', 2), ('knn__weights', 'distance')])",0.9755384096521029,0.9589130593495536,0.968639995374304,0.9731049714811754,0.9712072412715698,0.9714628314905047,0.975468978586998,0.9703855156181055,0.9651907498571173,0.9804568412387875,0.9710368593920219,0.0056609539224222495,6
41,59.07729794979095,9.337613420748545,1480.9565222024917,288.37661585269865,ball_tree,11,euclidean,3,1,uniform,"OrderedDict([('knn__algorithm', 'ball_tree'), ('knn__leaf_size', 11), ('knn__metric', 'euclidean'), ('knn__n_neighbors', 3), ('knn__p', 1), ('knn__weights', 'uniform')])",0.9674617457438144,0.9529388318159349,0.9581168358548314,0.9609587728518141,0.9674000385236668,0.9672581155371948,0.9654121325330023,0.9727645671238674,0.9502709042676326,0.9585629609429575,0.9621144905194716,0.006794697531290198,37
42,24.16777729988098,3.5798583897846035,1921.3224813222885,379.43222662637567,brute,56,minkowski,15,2,uniform,"OrderedDict([('knn__algorithm', 'brute'), ('knn__leaf_size', 56), ('knn__metric', 'minkowski'), ('knn__n_neighbors', 15), ('knn__p', 2), ('knn__weights', 'uniform')])",0.9386360117653798,0.9410514504375129,0.944174695220433,0.9480002139039512,0.955205075691236,0.9492425832003283,0.9282783386136148,0.9555070690223613,0.9330286525196609,0.944420339478978,0.9437544429853457,0.00840276375028299,50
43,24.209852051734924,3.363794540222211,7395.769373869896,1591.6445579736708,auto,57,manhattan,3,1,uniform,"OrderedDict([('knn__algorithm', 'auto'), ('knn__leaf_size', 57), ('knn__metric', 'manhattan'), ('knn__n_neighbors', 3), ('knn__p', 1), ('knn__weights', 'uniform')])",0.9728423333030752,0.9580956112562886,0.9644417390234509,0.9667534635947203,0.9684104718988156,0.9669071941716814,0.9679368229282552,0.9781149348273523,0.9530492835680124,0.9703426820031782,0.966689453657483,0.0067177046354578865,25
44,57.326968336105345,6.919577988422496,2043.170568227768,395.56985547989547,ball_tree,32,minkowski,3,2,uniform,"OrderedDict([('knn__algorithm', 'ball_tree'), ('knn__leaf_size', 32), ('knn__metric', 'minkowski'), ('knn__n_neighbors', 3), ('knn__p', 2), ('knn__weights', 'uniform')])",0.9674617457438144,0.9529388318159349,0.9581168358548314,0.9609587728518141,0.9674000385236668,0.9672581155371948,0.9654121325330023,0.9727645671238674,0.9502709042676326,0.9585629609429575,0.9621144905194716,0.006794697531290198,37
45,83.95968320369721,11.1400513427336,565.0205470800399,87.74958460382653,kd_tree,10,manhattan,4,1,distance,"OrderedDict([('knn__algorithm', 'kd_tree'), ('knn__leaf_size', 10), ('knn__metric', 'manhattan'), ('knn__n_neighbors', 4), ('knn__p', 1), ('knn__weights', 'distance')])",0.9775274445973263,0.9580108860141584,0.9674748222955616,0.972532975350704,0.971179466423202,0.9701490654793934,0.9779048153654173,0.9726078823477596,0.9660382161232113,0.9792686433162784,0.9712694217313012,0.006077692373352448,1
46,24.178922057151794,3.666981390582292,7421.3880192995075,1601.1594496218231,auto,59,minkowski,15,1,distance,"OrderedDict([('knn__algorithm', 'auto'), ('knn__leaf_size', 59), ('knn__metric', 'minkowski'), ('knn__n_neighbors', 15), ('knn__p', 1), ('knn__weights', 'distance')])",0.9714198361482687,0.9617837312235767,0.9664572141505344,0.9705364030751296,0.9637261162622297,0.9715727382875755,0.965389024634088,0.97093469092137,0.9590954832979193,0.9714993554240057,0.9672414593424697,0.0043748487579494885,21
47,59.47338838577271,8.026637182500831,1025.3771084308623,184.53602489869323,ball_tree,11,manhattan,3,2,distance,"OrderedDict([('knn__algorithm', 'ball_tree'), ('knn__leaf_size', 11), ('knn__metric', 'manhattan'), ('knn__n_neighbors', 3), ('knn__p', 2), ('knn__weights', 'distance')])",0.9772562182408459,0.9595917360152603,0.968945744967348,0.9710618330129901,0.9693528252941931,0.9699593195618604,0.9745238081896173,0.9725770930610173,0.9641677088617377,0.9792016197009283,0.9706637906905797,0.005522948386220873,8
48,24.28471956253052,3.291612316506476,7400.100863385201,1596.6204431532747,brute,11,manhattan,3,2,uniform,"OrderedDict([('knn__algorithm', 'brute'), ('knn__leaf_size', 11), ('knn__metric', 'manhattan'), ('knn__n_neighbors', 3), ('knn__p', 2), ('knn__weights', 'uniform')])",0.9728423333030752,0.9580956112562886,0.9644417390234509,0.9667534635947203,0.9684104718988156,0.9669071941716814,0.9679368229282552,0.9781149348273523,0.9530492835680124,0.9703426820031782,0.966689453657483,0.0067177046354578865,25
49,24.50549476146698,3.3809861991704557,7415.978750896454,1598.0970811202153,auto,15,manhattan,7,2,uniform,"OrderedDict([('knn__algorithm', 'auto'), ('knn__leaf_size', 15), ('knn__metric', 'manhattan'), ('knn__n_neighbors', 7), ('knn__p', 2), ('knn__weights', 'uniform')])",0.967657626255394,0.9563038300065001,0.9650514241662933,0.9620929269404641,0.964207639978714,0.9665379914642518,0.966215421719809,0.9720613719218264,0.9560060466265232,0.9610748816593258,0.9637209160739101,0.004747744074643336,35
